x1,x2
price,-3.264
dpm,-0.199
hp2wt,0.302
size,4.498
turbo,0.533
trans,-0.436
Year_1986,-0.033
Year_1987,-0.139
Year_1988,-0.049
Year_1989,0.003
Year_1990,-0.357
Year_1991,-0.644
Year_1992,-0.653
Year_1993,-0.478
Year_1994,-0.121
Year_1995,-0.013
Year_1996,-0.035
Year_1997,0.053
Year_1998,0.122
Year_1999,0.393
Year_2000,0.559
Year_2001,0.117
Year_2002,0.176
Year_2003,0.158
Year_2004,0.084
Year_2005,0.15
Year_2006,-0.23
Year_2007,-0.641
Year_2008,-1.159
Year_2009,-2.654
Year_2010,-2.21
Year_2011,-1.759
Year_2012,-1.26
Year_2013,-1.005
Year_2014,-0.795
Year_2015,-0.823
model_class_2,-0.788
model_class_3,0.392
model_class_4,-0.092
model_class_5,-0.786
cyl_2,-1.311
cyl_4,-0.852
cyl_6,0.151
cyl_8,0.284
drive_2,0.403
drive_3,0.26
Intercept,-2.423
